EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,HireDate,YearsAtCompany,JobLevel,MonthlyIncome,SalaryHike%,Overtime,PerformanceRating,TrainingTimesLastYear,WorkLifeBalance,Attrition,JobSatisfaction,EnvironmentSatisfaction,PromotionLast5Years
EMP0001,50,Male,Marketing,Content Strategist,Doctorate,Divorced,2017-02-10,9,2,5291,11.5,No,4,1,3,No,3,3,Yes
EMP0002,36,Male,R&D,Research Scientist,Bachelor,Married,2023-12-02,2,2,5823,19.7,Yes,3,4,3,Yes,4,2,No
EMP0003,29,Female,R&D,Lab Technician,Master,Single,2009-01-22,17,3,8259,14.5,No,2,4,1,Yes,4,2,No
EMP0004,42,Female,R&D,Research Scientist,Bachelor,Single,2008-08-28,17,3,9205,12.5,No,3,5,3,No,3,2,No
EMP0005,40,Female,Marketing,Marketing Analyst,Master,Married,2009-12-30,16,5,16914,12.9,Yes,3,0,3,No,1,3,No
EMP0006,44,Male,R&D,Lab Technician,Master,Married,2002-08-04,23,4,10289,14.2,Yes,3,6,1,No,3,1,Yes
EMP0007,32,Female,IT,Data Analyst,Bachelor,Single,2023-03-07,2,1,2608,20.7,No,2,6,4,Yes,2,3,No
EMP0008,32,Female,Sales,Sales Executive,Bachelor,Married,2023-08-22,2,2,4687,22.8,Yes,2,0,4,No,4,3,No
EMP0009,45,Male,R&D,Lab Technician,Bachelor,Married,2021-01-25,5,3,9737,24.1,No,4,6,3,Yes,4,2,No
EMP0010,57,Male,IT,Software Engineer,Bachelor,Married,2013-04-08,12,4,10888,20.7,Yes,2,0,2,No,3,4,Yes
EMP0011,45,Non-Binary,HR,HR Manager,Doctorate,Married,2003-01-04,23,5,12124,11.3,No,4,5,4,No,4,3,No
EMP0012,24,Male,R&D,R&D Manager,Master,Single,2012-02-04,14,3,9005,18.8,Yes,3,3,3,Yes,1,1,No
EMP0013,43,Male,HR,Recruiter,Doctorate,Divorced,2001-09-18,24,5,20862,13.8,No,3,4,3,No,4,4,No
EMP0014,23,Non-Binary,HR,Recruiter,College,Married,2017-07-11,8,2,6137,10.1,No,3,5,3,Yes,2,1,No
EMP0015,45,Non-Binary,Finance,Finance Manager,Master,Single,2022-07-28,3,1,2728,21.8,No,3,2,3,Yes,4,4,No
EMP0016,51,Female,Sales,Sales Manager,Doctorate,Divorced,2012-05-21,13,3,6476,5.8,Yes,3,1,3,Yes,2,4,No
EMP0017,59,Female,R&D,Research Scientist,College,Married,2021-06-27,4,1,2939,23.0,No,2,3,3,Yes,4,3,No
EMP0018,23,Male,Marketing,Marketing Manager,College,Divorced,2024-03-15,1,1,2928,14.2,No,1,2,3,No,4,4,No
EMP0019,42,Male,IT,IT Manager,Master,Married,2015-07-06,10,3,7264,17.7,No,3,4,4,No,1,3,No
EMP0020,54,Female,HR,Recruiter,Bachelor,Married,2018-02-09,8,1,3247,18.2,Yes,3,6,3,No,3,3,No
EMP0021,33,Female,R&D,R&D Manager,Master,Single,2002-09-06,23,4,15323,22.9,Yes,4,0,3,No,4,1,No
EMP0022,43,Female,Marketing,Content Strategist,College,Single,2023-04-06,2,1,3100,17.7,No,4,4,4,Yes,3,2,No
EMP0023,46,Male,Finance,Financial Analyst,Master,Married,2017-07-19,8,3,8704,17.3,No,4,5,3,No,2,4,No
EMP0024,48,Female,R&D,R&D Manager,Bachelor,Married,2023-10-25,2,1,2578,6.3,No,4,1,3,No,2,3,No
EMP0025,49,Female,R&D,R&D Manager,College,Single,2001-03-11,24,4,14515,15.4,No,3,5,3,No,2,3,No
EMP0026,37,Female,HR,Recruiter,College,Single,2024-12-08,1,1,2966,8.0,No,3,3,3,No,4,3,Yes
EMP0027,36,Female,R&D,Research Scientist,Master,Married,2014-12-17,11,2,5022,19.7,Yes,4,3,4,Yes,3,3,No
EMP0028,24,Female,R&D,Lab Technician,Master,Divorced,2016-07-28,9,3,8581,15.2,No,3,1,3,Yes,1,1,No
EMP0029,58,Female,R&D,Research Scientist,Bachelor,Married,2017-07-24,8,1,3212,18.6,Yes,3,2,4,Yes,3,3,No
EMP0030,28,Male,Sales,Sales Representative,Bachelor,Single,2011-12-09,14,4,12250,5.8,No,2,2,1,No,3,4,No
EMP0031,42,Female,Sales,Sales Manager,Master,Single,2018-05-18,7,1,3542,6.7,No,3,3,1,Yes,2,2,No
EMP0032,30,Non-Binary,IT,IT Manager,Bachelor,Single,2001-05-20,24,4,12691,19.3,No,3,3,3,No,3,2,No
EMP0033,39,Male,IT,Software Engineer,Master,Divorced,2021-04-04,4,1,2872,6.4,Yes,4,6,2,Yes,2,1,No
EMP0034,25,Male,R&D,Research Scientist,Bachelor,Single,2015-03-18,10,2,5830,6.4,Yes,3,0,2,Yes,3,3,No
EMP0035,46,Male,IT,Data Analyst,Bachelor,Married,2024-11-15,1,2,5912,5.2,Yes,3,6,3,Yes,4,4,No
